Record,SppNumb,Species,Length_mm,Weight_g,Length_in,Weight_lbs,Sex,Maturity,MM,DD,YYYY,Date,WaterBody,Section,Count,Notes,LOC_Name,LOC_Number,NetType,Position,Season,TimeSet,TimePulled,HoursSet,H2OTempF,H2OTempC,NetNumb,NetCount,ConditionFultonsK,ConditionFiltered,Strategy,Length_cm,100mmGroup
9379,5,BULL,254,NA,10,NA,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,NA,NA,NA,NA,NA,453,NA,NA,FALSE,Pre-Biop,25,200
9443,5,BULL,259,149,10.2,0.33,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,NA,NA,NA,NA,NA,455,NA,85.76,TRUE,Pre-Biop,25,200
9382,5,BULL,261,149,10.3,0.33,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,NA,NA,NA,NA,NA,453,NA,83.8,TRUE,Pre-Biop,26,200
9383,5,BULL,264,NA,10.4,NA,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,NA,NA,NA,NA,NA,453,NA,NA,FALSE,Pre-Biop,26,200
9378,5,BULL,284,185,11.2,0.41,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,20:00,8:00,12,NA,NA,453,1,80.76,TRUE,Pre-Biop,28,200
9299,5,BULL,289,190,11.4,0.42,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,NA,NA,NA,NA,NA,449,NA,78.72,TRUE,Pre-Biop,28,200
9415,5,BULL,292,226,11.5,0.5,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,NA,NA,NA,NA,NA,454,NA,90.77,TRUE,Pre-Biop,29,200
9153,5,BULL,297,NA,11.7,NA,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,North Black Lake,3,2,NA,Spring,NA,NA,NA,NA,NA,462,NA,NA,FALSE,Pre-Biop,29,200
9298,5,BULL,297,213,11.7,0.47,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,20:00,8:00,12,NA,NA,449,1,81.3,TRUE,Pre-Biop,29,200
9413,5,BULL,302,235,11.9,0.52,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,19:00,8:00,13,NA,NA,454,1,85.32,TRUE,Pre-Biop,30,300
9233,5,BULL,307,NA,12.1,NA,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,North Point Tobacco,8,2,NA,Spring,NA,NA,NA,NA,NA,439,NA,NA,FALSE,Pre-Biop,30,300
9163,5,BULL,312,263,12.3,0.58,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,North Black Lake,3,2,NA,Spring,20:00,8:00,12,NA,NA,463,1,86.59,TRUE,Pre-Biop,31,300
9357,5,BULL,312,263,12.3,0.58,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,NA,NA,NA,NA,NA,452,NA,86.59,TRUE,Pre-Biop,31,300
9232,5,BULL,314,276,12.4,0.61,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,North Point Tobacco,8,2,NA,Spring,NA,NA,NA,NA,NA,439,NA,89.15,TRUE,Pre-Biop,31,300
9305,5,BULL,314,NA,12.4,NA,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,20:00,8:00,12,NA,NA,450,1,NA,FALSE,Pre-Biop,31,300
9356,5,BULL,314,272,12.4,0.6,NA,NA,5,16,1976,5/16/1976,Koocanusa,Rexford,1,NA,Mid Sophie,15,2,NA,Spring,NA,NA,NA,NA,NA,452,NA,87.86,TRUE,Pre-Biop,31,300
