State,RecoveryUnit,CoreArea,LocalPopulation,Waterbody,BLTPatchID,Kovach_ID,MT_ID,FWS_ID,Year,Redds,LifeHistory,Comments,LocationData
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,1995,6,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,1996,10,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,1997,13,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,1998,22,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,1999,36,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2000,23,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2001,4,1,e,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2002,17,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2003,14,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2004,6,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2005,3,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2006,14,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2007,9,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2008,14,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2009,6,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2010,8,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2011,3,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2012,4,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2013,8,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2014,11,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2015,7,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2016,4,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2017,1,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2018,3,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2019,4,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2020,4,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2021,4,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2022,7,1,,1
MT,Col Head,Kootenai River,Bear Creek,Bear Creek,17010101BEA, ,MT_50,FWS_50,2023,1,,,
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,1983,2,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,1984,1,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV, ,MT_149,FWS_149,1993,5,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV, ,MT_149,FWS_149,1994,1,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV, ,MT_149,FWS_149,1995,1,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,1996,6,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,1997,1,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,1998,1,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,1999,10,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,2000,1,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,2001,13,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,2002,5,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,2003,20,1,,1
MT,Col Head,Lake Koocanusa,Grave Creek,Blue Sky Creek,17010101GRV,Kovach_3,MT_149,FWS_149,2004,10,1,,1
