Record,SppNumb,Species,Length_mm,Weight_g,Sex,Maturity,MM,DD,YYYY,Date,WaterBody,Section,Count,Notes,LOC_Name,LOC_Number,NetType,Position,Season,NetNumb,NetCount,Condition (Fulton's K),Condition Filtered,Strategy,100mmGroup
8942,8,KOK,381,544,,,10,7,1975,10/7/1975,Koocanusa,Tenmile,1,,,,1,,Fall,278,,98.36,TRUE,Pre-Biop,300
15656,8,KOK,384,485,Male,,10,2,1979,10/2/1979,Koocanusa,Canada,1,,,,1,,Fall,643,,86.02,TRUE,Pre-Biop,300
15693,8,KOK,414,680,Female,,10,2,1979,10/2/1979,Koocanusa,Canada,1,,,,1,,Fall,646,,95.87,TRUE,Pre-Biop,400
15741,8,KOK,455,998,Male,,10,2,1979,10/2/1979,Koocanusa,Canada,1,,,,1,,Fall,649,,106.18,TRUE,Pre-Biop,400
15811,8,KOK,363,404,Female,,10,2,1979,10/2/1979,Koocanusa,Canada,1,,,,1,,Fall,654,,84.25,TRUE,Pre-Biop,300
15812,8,KOK,460,1052,Female,,10,2,1979,10/2/1979,Koocanusa,Canada,1,,,,1,,Fall,654,,108.3,TRUE,Pre-Biop,400
15843,8,KOK,450,953,Female,,10,2,1979,10/2/1979,Koocanusa,Canada,1,,,,1,,Fall,655,,104.82,TRUE,Pre-Biop,400
15842,8,KOK,467,1061,Female,,10,2,1979,10/2/1979,Koocanusa,Canada,1,,,,1,,Fall,655,,103.97,TRUE,Pre-Biop,400
15380,8,KOK,431,743,Male,,10,2,1979,10/2/1979,Koocanusa,Rexford,1,,South Black Lake,2,1,,Fall,828,1,92.8,TRUE,Pre-Biop,400
15409,8,KOK,421,771,Male,,10,2,1979,10/2/1979,Koocanusa,Rexford,1,,South Black Lake,2,1,,Fall,829,,103.33,TRUE,Pre-Biop,400
15545,8,KOK,464,1043,Male,,10,2,1979,10/2/1979,Koocanusa,Rexford,1,,North Point Tobacco,8,1,,Fall,832,1,104.41,TRUE,Pre-Biop,400
15487,8,KOK,457,1043,Female,,10,2,1979,10/2/1979,Koocanusa,Rexford,1,,South Tobacco,7,1,,Fall,834,1,109.28,TRUE,Pre-Biop,400
16035,8,KOK,449,970,,,10,3,1979,10/3/1979,Koocanusa,Rexford,1,,North of North Point Tobacco,9,1,,Fall,842,,107.16,TRUE,Pre-Biop,400
