Year,Waterbody,Redds
1996,SandCreek,71170
1997,SandCreek,17620
1998,SandCreek,8
1999,SandCreek,16285
2000,SandCreek,57800
2001,SandCreek,1432
2002,SandCreek,81350
2003,SandCreek,33760
2004,SandCreek,5755
2005,SandCreek,11550
2006,SandCreek,NA
2007,SandCreek,NA
2008,SandCreek,NA
2009,SandCreek,NA
2010,SandCreek,NA
2011,SandCreek,NA
2012,SandCreek,21650
2013,SandCreek,300
2014,SandCreek,16700
2015,SandCreek,24600
2016,SandCreek,2450
2017,SandCreek,9000
2018,SandCreek,7885
2019,SandCreek,1175
2020,SandCreek,1750
2021,SandCreek,6525
2022,SandCreek,2750
1996,LittleSandCreek,7250
1997,LittleSandCreek,3000
1998,LittleSandCreek,488
1999,LittleSandCreek,9402
2000,LittleSandCreek,13050
2001,LittleSandCreek,2450
2002,LittleSandCreek,37000
2003,LittleSandCreek,2400
2004,LittleSandCreek,3580
2005,LittleSandCreek,5700
2006,LittleSandCreek,NA
2007,LittleSandCreek,NA
2008,LittleSandCreek,NA
2009,LittleSandCreek,NA
2010,LittleSandCreek,NA
2011,LittleSandCreek,NA
2012,LittleSandCreek,5800
2013,LittleSandCreek,500
2014,LittleSandCreek,4200
2015,LittleSandCreek,3500
2016,LittleSandCreek,1400
2017,LittleSandCreek,4500
2018,LittleSandCreek,3950
2019,LittleSandCreek,863
2020,LittleSandCreek,450
2021,LittleSandCreek,2150
2022,LittleSandCreek,NA
1996,BullRiver,54850
1997,BullRiver,10852
1998,BullRiver,1782
1999,BullRiver,26090
2000,BullRiver,43500
2001,BullRiver,25325
2002,BullRiver,19400
2003,BullRiver,19370
2004,BullRiver,1987
2005,BullRiver,4050
2006,BullRiver,NA
2007,BullRiver,NA
2008,BullRiver,NA
2009,BullRiver,NA
2010,BullRiver,NA
2011,BullRiver,NA
2012,BullRiver,7850
2013,BullRiver,800
2014,BullRiver,8600
2015,BullRiver,14100
2016,BullRiver,4850
2017,BullRiver,9550
2018,BullRiver,7225
2019,BullRiver,14975
2020,BullRiver,2725
2021,BullRiver,7700
2022,BullRiver,6475
1996,NorburyCreek,11800
1997,NorburyCreek,11050
1998,NorburyCreek,9340
1999,NorburyCreek,7902
2000,NorburyCreek,47500
2001,NorburyCreek,23300
2002,NorburyCreek,19800
2003,NorburyCreek,21550
2004,NorburyCreek,12270
2005,NorburyCreek,27350
2006,NorburyCreek,NA
2007,NorburyCreek,NA
2008,NorburyCreek,NA
2009,NorburyCreek,NA
2010,NorburyCreek,NA
2011,NorburyCreek,NA
2012,NorburyCreek,17650
2013,NorburyCreek,6900
2014,NorburyCreek,13675
2015,NorburyCreek,8730
2016,NorburyCreek,2800
2017,NorburyCreek,14620
2018,NorburyCreek,9200
2019,NorburyCreek,5350
2020,NorburyCreek,26483
2021,NorburyCreek,2250
2022,NorburyCreek,3900
1996,KootenayRiverSideChannel,50250
1997,KootenayRiverSideChannel,18120
1998,KootenayRiverSideChannel,30195
1999,KootenayRiverSideChannel,32040
2000,KootenayRiverSideChannel,98980
2001,KootenayRiverSideChannel,74510
2002,KootenayRiverSideChannel,83400
2003,KootenayRiverSideChannel,35535
2004,KootenayRiverSideChannel,170
2005,KootenayRiverSideChannel,200
2006,KootenayRiverSideChannel,NA
2007,KootenayRiverSideChannel,NA
2008,KootenayRiverSideChannel,NA
2009,KootenayRiverSideChannel,NA
2010,KootenayRiverSideChannel,NA
2011,KootenayRiverSideChannel,NA
2012,KootenayRiverSideChannel,30800
2013,KootenayRiverSideChannel,24300
2014,KootenayRiverSideChannel,38600
2015,KootenayRiverSideChannel,46600
2016,KootenayRiverSideChannel,23600
2017,KootenayRiverSideChannel,26000
2018,KootenayRiverSideChannel,11050
2019,KootenayRiverSideChannel,22350
2020,KootenayRiverSideChannel,12500
2021,KootenayRiverSideChannel,19200
2022,KootenayRiverSideChannel,9100
1996,LussierRiver,171000
1997,LussierRiver,49450
1998,LussierRiver,98217
1999,LussierRiver,145445
2000,LussierRiver,43150
2001,LussierRiver,213460
2002,LussierRiver,177650
2003,LussierRiver,32220
2004,LussierRiver,15000
2005,LussierRiver,52180
2006,LussierRiver,NA
2007,LussierRiver,NA
2008,LussierRiver,NA
2009,LussierRiver,NA
2010,LussierRiver,NA
2011,LussierRiver,NA
2012,LussierRiver,51800
2013,LussierRiver,34910
2014,LussierRiver,32700
2015,LussierRiver,182600
2016,LussierRiver,50050
2017,LussierRiver,34750
2018,LussierRiver,57625
2019,LussierRiver,59100
2020,LussierRiver,25325
2021,LussierRiver,50175
2022,LussierRiver,23880
1996,FindlayCreek,1405
1997,FindlayCreek,2010
1998,FindlayCreek,1120
1999,FindlayCreek,9100
2000,FindlayCreek,6180
2001,FindlayCreek,6475
2002,FindlayCreek,9050
2003,FindlayCreek,1620
2004,FindlayCreek,0
2005,FindlayCreek,2200
2006,FindlayCreek,NA
2007,FindlayCreek,NA
2008,FindlayCreek,NA
2009,FindlayCreek,NA
2010,FindlayCreek,NA
2011,FindlayCreek,NA
2012,FindlayCreek,11750
2013,FindlayCreek,3800
2014,FindlayCreek,4700
2015,FindlayCreek,15400
2016,FindlayCreek,2200
2017,FindlayCreek,4250
2018,FindlayCreek,3200
2019,FindlayCreek,7160
2020,FindlayCreek,NA
2021,FindlayCreek,1325
2022,FindlayCreek,5100
2023,SandCreek,11075
2023,LittleSandCreek,NA
2023,BullRiver,7975
2023,NorburyCreek,22600
2023,KootenayRiverSideChannel,9660
2023,LussierRiver,26605
2023,FindlayCreek,4275
