Record,Spp #,Species,Length (mm),Weight (g),Length (in),Weight (lbs),Sex,Maturity,MM,DD,YYYY,Date,WaterBody,Section,Count,Notes,LOC_Name,LOC_Number,NetType,Position,Season,TimeSet,TimePulled,HoursSet,H2O Temp (F),H2O Temp (C),NetNumb,NetCount,Condition (Fulton's K),Condition Filtered,Strategy,Length (cm),100 mm Group
12,58,LS SU,221,95,8.7,0.21,,,5,8,1973,5/8/1973,Koocanusa,Tenmile,1,2 nets,,,2,,Spring,15:00,11:00,40,,,3,2,88.27,TRUE,Pre-Biop,22,200
62,58,LS SU,180,50,7.1,0.11,,,5,8,1973,5/8/1973,Koocanusa,Tenmile,1,3 nets,,,2,,Spring,15:00,11:00,60,,,5,3,85.07,TRUE,Pre-Biop,18,100
150,29,PEA,185,,7.3,,,,5,8,1973,5/8/1973,Koocanusa,Tenmile,1,,,,2,,Spring,15:00,11:00,20,,,8,1,,FALSE,Pre-Biop,18,100
268,58,LS SU,234,,9.2,,,,5,9,1973,5/9/1973,Koocanusa,Tenmile,1,,,,2,,Spring,16:00,10:00,18,,,11,1,,FALSE,Pre-Biop,23,200
336,12,WCT,241,141,9.5,0.31,,,5,9,1973,5/9/1973,Koocanusa,Tenmile,1,,,,2,,Spring,16:00,10:00,18,,,12,1,100.08,TRUE,Pre-Biop,24,200
367,12,WCT,297,290,11.7,0.64,,,5,9,1973,5/9/1973,Koocanusa,Tenmile,1,,,,2,,Spring,16:00,10:00,18,,,13,1,110.61,TRUE,Pre-Biop,29,200
412,1,RB,361,458,14.2,1.01,,,5,9,1973,5/9/1973,Koocanusa,Tenmile,1,,,,2,,Spring,16:00,10:00,18,,,14,1,97.64,TRUE,Pre-Biop,36,300
425,58,LS SU,307,290,12.1,0.64,,,5,9,1973,5/9/1973,Koocanusa,Tenmile,1,,,,2,,Spring,16:00,10:00,18,,,15,1,100,TRUE,Pre-Biop,30,300
508,58,LS SU,330,,13,,,,5,9,1973,5/9/1973,Koocanusa,Tenmile,1,,,,2,,Spring,16:00,10:00,18,,,16,1,,FALSE,Pre-Biop,33,300
9091,1,RB,594,2676,23.4,5.9,,,3,30,1976,3/30/1976,Koocanusa,Tenmile,1,,,,2,,Spring,15:00,10:00,19,,,910,1,127.68,TRUE,Pre-Biop,59,500
9104,1,RB,307,353,12.1,0.78,,,3,30,1976,3/30/1976,Koocanusa,Tenmile,1,,,,2,,Spring,15:00,10:00,19,,,911,1,122,TRUE,Pre-Biop,30,300
9111,1,RB,414,689,16.3,1.52,,,3,30,1976,3/30/1976,Koocanusa,Tenmile,1,,,,2,,Spring,15:00,10:00,19,,,912,1,97.1,TRUE,Pre-Biop,41,400
9298,5,BULL,297,213,11.7,0.47,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,20:00,8:00,12,,,449,1,81.3,TRUE,Pre-Biop,29,200
9305,5,BULL,314,,12.4,,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,20:00,8:00,12,,,450,1,,FALSE,Pre-Biop,31,300
9313,5,BULL,325,,12.8,,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,20:00,8:00,12,,,451,1,,FALSE,Pre-Biop,32,300
9353,5,BULL,358,390,14.1,0.86,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,20:00,8:00,12,,,452,1,85,TRUE,Pre-Biop,35,300
9378,5,BULL,284,185,11.2,0.41,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,20:00,8:00,12,,,453,1,80.76,TRUE,Pre-Biop,28,200
9413,5,BULL,302,235,11.9,0.52,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,19:00,8:00,13,,,454,1,85.32,TRUE,Pre-Biop,30,300
9442,5,BULL,520,1288,20.5,2.84,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,19:00,8:00,13,,,455,1,91.6,TRUE,Pre-Biop,52,500
9152,5,BULL,317,,12.5,,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,20:00,8:00,12,,,462,1,,FALSE,Pre-Biop,31,300
9163,5,BULL,312,263,12.3,0.58,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,20:00,8:00,12,,,463,1,86.59,TRUE,Pre-Biop,31,300
9198,85,MWF,279,,11,,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,20:00,8:00,12,,,464,1,,FALSE,Pre-Biop,27,200
9206,5,BULL,325,,12.8,,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,20:00,8:00,12,,,465,1,,FALSE,Pre-Biop,32,300
9230,5,BULL,350,390,13.8,0.86,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,North Point Tobacco,8,2,,Spring,20:00,8:00,12,,,439,1,90.96,TRUE,Pre-Biop,35,300
9286,5,BULL,388,,15.3,,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,North Point Tobacco,8,2,,Spring,20:00,8:00,12,,,440,1,,FALSE,Pre-Biop,38,300
9290,85,MWF,299,,11.8,,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,North Point Tobacco,8,2,,Spring,20:00,8:00,12,,,441,1,,FALSE,Pre-Biop,29,200
9296,26,LING,368,471,14.5,1.04,,,5,16,1976,5/16/1976,Koocanusa,Rexford,1,,North Point Tobacco,8,2,,Spring,20:00,8:00,12,,,477,1,94.51,TRUE,Pre-Biop,36,300
9642,5,BULL,325,294,12.8,0.65,,,5,17,1976,5/17/1976,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,21:00,8:00,11,,,456,1,85.64,TRUE,Pre-Biop,32,300
